ID	latitude	longitude	date	Source
255	35.339717	-119.630833	4/19/18	JT_CA33
256	35.339717	-119.630833	4/19/18	JT_CA33
257	35.339717	-119.630833	4/19/18	JT_CA33
258	35.339717	-119.630833	4/19/18	JT_CA33
259	35.339717	-119.630833	4/19/18	JT_CA33
260	35.339717	-119.630833	4/19/18	JT_CA33
261	35.339717	-119.630833	4/19/18	JT_CA33
262	35.339717	-119.630833	4/19/18	JT_CA33
263	35.339717	-119.630833	4/19/18	JT_CA33
264	35.339717	-119.630833	4/19/18	JT_CA33
265	35.339717	-119.630833	4/19/18	JT_CA33
266	35.339717	-119.630833	4/19/18	JT_CA33
267	35.339717	-119.630833	4/19/18	JT_CA33
268	35.339717	-119.630833	5/17/18	JT_CA33
269	35.339717	-119.630833	5/17/18	JT_CA33
270	35.339717	-119.630833	5/17/18	JT_CA33
271	35.339717	-119.630833	5/17/18	JT_CA33
272	35.339717	-119.630833	5/17/18	JT_CA33
273	35.339717	-119.630833	5/17/18	JT_CA33
274	35.339717	-119.630833	5/17/18	JT_CA33
275	35.339717	-119.630833	5/17/18	JT_CA33
276	35.339717	-119.630833	5/17/18	JT_CA33
277	35.339717	-119.630833	5/17/18	JT_CA33
278	35.339717	-119.630833	5/17/18	JT_CA33
279	35.339717	-119.630833	5/17/18	JT_CA33
280	35.339717	-119.630833	5/17/18	JT_CA33
281	35.339717	-119.630833	5/17/18	JT_CA33
282	35.339717	-119.630833	5/17/18	JT_CA33
283	35.339717	-119.630833	5/17/18	JT_CA33
284	35.339717	-119.630833	5/17/18	JT_CA33
285	35.339717	-119.630833	5/17/18	JT_CA33
286	35.339717	-119.630833	5/17/18	JT_CA33
287	35.339717	-119.630833	5/17/18	JT_CA33
288	35.339717	-119.630833	5/17/18	JT_CA33
289	35.339717	-119.630833	5/17/18	JT_CA33
290	35.339717	-119.630833	5/17/18	JT_CA33
291	35.339717	-119.630833	5/17/18	JT_CA33
292	35.339717	-119.630833	5/17/18	JT_CA33
293	35.339717	-119.630833	5/17/18	JT_CA33
294	35.339717	-119.630833	5/17/18	JT_CA33
295	35.339717	-119.630833	5/17/18	JT_CA33
296	35.339717	-119.630833	5/17/18	JT_CA33
297	35.339717	-119.630833	5/17/18	JT_CA33
298	35.339717	-119.630833	5/17/18	JT_CA33
299	35.339717	-119.630833	5/17/18	JT_CA33
300	35.339717	-119.630833	5/17/18	JT_CA33
301	35.339717	-119.630833	5/17/18	JT_CA33
302	35.339717	-119.630833	5/17/18	JT_CA33
303	35.339717	-119.630833	6/19/18	JT_CA33
304	35.339717	-119.630833	6/19/18	JT_CA33
305	35.339717	-119.630833	6/19/18	JT_CA33
306	35.339717	-119.630833	6/19/18	JT_CA33
307	35.339717	-119.630833	6/19/18	JT_CA33
308	35.339717	-119.630833	6/19/18	JT_CA33
309	35.339717	-119.630833	6/19/18	JT_CA33
310	35.339717	-119.630833	6/19/18	JT_CA33
311	35.339717	-119.630833	6/19/18	JT_CA33
312	35.339717	-119.630833	6/19/18	JT_CA33
313	35.339717	-119.630833	6/19/18	JT_CA33
314	35.339717	-119.630833	6/19/18	JT_CA33
315	35.339717	-119.630833	6/19/18	JT_CA33
316	35.339717	-119.630833	6/19/18	JT_CA33
317	35.339717	-119.630833	6/19/18	JT_CA33
318	35.339717	-119.630833	6/19/18	JT_CA33
319	35.339717	-119.630833	6/19/18	JT_CA33
320	35.339717	-119.630833	6/19/18	JT_CA33
321	35.339717	-119.630833	6/19/18	JT_CA33
322	35.339717	-119.630833	7/25/18	JT_CA33
323	35.339717	-119.630833	7/25/18	JT_CA33
324	35.339717	-119.630833	7/25/18	JT_CA33
325	35.339717	-119.630833	7/25/18	JT_CA33
326	35.339717	-119.630833	7/25/18	JT_CA33
327	35.339717	-119.630833	7/25/18	JT_CA33
328	35.339717	-119.630833	7/25/18	JT_CA33
329	35.339717	-119.630833	7/25/18	JT_CA33
330	35.339717	-119.630833	7/25/18	JT_CA33
331	35.339717	-119.630833	7/25/18	JT_CA33
332	35.339717	-119.630833	7/25/18	JT_CA33
333	35.339717	-119.630833	7/25/18	JT_CA33
334	35.339717	-119.630833	7/25/18	JT_CA33
335	35.339717	-119.630833	7/25/18	JT_CA33
